latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.54409609,-74.14115469,STATEN ISLAND,0,STATEN ISLAND, NY,10308,Club/Bar/Restaurant
40.72979348,-73.99884181,NEW YORK,18,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.54420877,-74.14103979,STATEN ISLAND,21,STATEN ISLAND, NY,10308,Club/Bar/Restaurant
40.86637626,-73.92825812,New York,160,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.63520686,-74.02028461,,17,BROOKLYN, NY,11220,Club/Bar/Restaurant
40.79186116,-73.94539159,NEW YORK,211,MANHATTAN, NY,10029,Club/Bar/Restaurant
40.71879472,-73.98901165,NEW YORK,41,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.86954934,-73.91634837,NY,271,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.73924884,-73.88445696,ELMHURST,15,QUEENS, NY,11373,Club/Bar/Restaurant
40.72278878,-74.00459619,NEW YORK,43,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.72581057,-73.99199058,NEW YORK,42,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.68935074,-73.81613264,SOUTH RICHMOND HILL,46,QUEENS, NY,11419,Club/Bar/Restaurant
40.77933383,-73.95066995,NEW YORK,16,MANHATTAN, NY,10128,Club/Bar/Restaurant
40.72349367,-73.98825325,NEW YORK,1175,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.83767128,-73.78290106,BRONX,11,BRONX, NY,10464,Club/Bar/Restaurant
40.72320273,-73.98827856,NEW YORK,24,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.86437703,-73.92653575,NEW YORK,458,MANHATTAN, NY,10040,Club/Bar/Restaurant
40.58413031,-73.93277355,,58,BROOKLYN, NY,11235,Club/Bar/Restaurant
40.59013616,-73.97389624,,38,BROOKLYN, NY,11223,Club/Bar/Restaurant
40.64269519,-73.96977506,,128,BROOKLYN, NY,11218,Club/Bar/Restaurant
40.6368429,-73.93075319,,28,BROOKLYN, NY,11203,Club/Bar/Restaurant
40.58488412,-73.92664159,,45,BROOKLYN, NY,11234,Club/Bar/Restaurant
40.74252091,-74.00051966,NEW YORK,23,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.74736716,-73.88655054,JACKSON HEIGHTS,42,QUEENS, NY,11372,Club/Bar/Restaurant
40.51478878,-74.24842226,STATEN ISLAND,72,STATEN ISLAND, NY,10307,Club/Bar/Restaurant
40.59034214,-74.06662421,STATEN ISLAND,42,STATEN ISLAND, NY,10305,Club/Bar/Restaurant
40.7137782,-73.95746753,,42,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.84711145,-73.93818244,NEW YORK,127,MANHATTAN, NY,10033,Club/Bar/Restaurant
40.72953107,-73.9804155,NEW YORK,,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.66196937,-73.96163481,,16,BROOKLYN, NY,11225,Club/Bar/Restaurant
40.76081394,-73.98718902,NEW YORK,19,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.66919734,-73.89645248,,24,BROOKLYN, NY,11207,Club/Bar/Restaurant
40.66479938,-73.73491026,ROSEDALE,39,QUEENS, NY,11422,Club/Bar/Restaurant
40.85114171,-73.78846705,BRONX,57,BRONX, NY,10464,Club/Bar/Restaurant
40.70383481,-73.93097214,,43,BROOKLYN, NY,11237,Club/Bar/Restaurant
40.7612619,-73.9942713,NEW YORK,43,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.76373637,-73.91464744,ASTORIA,31,QUEENS, NY,11103,Club/Bar/Restaurant
40.85706015,-73.90468411,BRONX,23,BRONX, NY,10453,Club/Bar/Restaurant
40.87575492,-73.85086586,BRONX,21,BRONX, NY,10469,Club/Bar/Restaurant
40.61336789,-73.96302421,,63,BROOKLYN, NY,11230,Club/Bar/Restaurant
40.77090216,-73.7352894,LITTLE NECK,85,QUEENS, NY,11362,Club/Bar/Restaurant
40.67775273,-73.99811085,,30,BROOKLYN, NY,11231,Club/Bar/Restaurant
40.68187917,-73.7660803,JAMAICA,,QUEENS, NY,11434,Club/Bar/Restaurant
40.68272042,-73.96329223,,231,BROOKLYN, NY,11238,Club/Bar/Restaurant
40.69957784,-73.83235864,RICHMOND HILL,79,QUEENS, NY,11418,Club/Bar/Restaurant
40.5995808,-73.98996033,,62,BROOKLYN, NY,11214,Club/Bar/Restaurant
40.7475205,-73.9824024,NEW YORK,40,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.63559076,-73.97774084,,37,BROOKLYN, NY,11218,Club/Bar/Restaurant
40.69822499,-73.80633492,JAMAICA,106,QUEENS, NY,11435,Club/Bar/Restaurant
40.69489819,-73.93155477,,14,BROOKLYN, NY,11221,Club/Bar/Restaurant
40.72271742,-74.00444827,NEW YORK,14,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.74860668,-73.97810369,NEW YORK,70,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.86210781,-73.91928608,NEW YORK,29,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.6716626,-73.95091902,,42,BROOKLYN, NY,11216,Club/Bar/Restaurant
40.68142275,-73.95710239,,302,BROOKLYN, NY,11238,Club/Bar/Restaurant
40.62863721,-74.08003528,STATEN ISLAND,90,STATEN ISLAND, NY,10304,Club/Bar/Restaurant
40.86813967,-73.93041833,NEW YORK,14,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.61655033,-73.93020153,,89,BROOKLYN, NY,11234,Club/Bar/Restaurant
40.68642817,-73.86869412,,18,BROOKLYN, NY,11208,Club/Bar/Restaurant
40.76449114,-73.98165065,NEW YORK,44,MANHATTAN, NY,10019,Club/Bar/Restaurant
40.69403903,-73.96078695,,40,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.73250431,-73.9848383,NEW YORK,80,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.81986557,-73.95852336,NEW YORK,118,MANHATTAN, NY,10027,Club/Bar/Restaurant
40.73249706,-74.00183297,NEW YORK,217,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.88228797,-73.82769936,BRONX,10,BRONX, NY,10475,Club/Bar/Restaurant
40.75524246,-73.97327568,NEW YORK,16,MANHATTAN, NY,10017,Club/Bar/Restaurant
40.65972716,-73.98791847,,93,BROOKLYN, NY,11215,Club/Bar/Restaurant
40.58485012,-73.81903413,FAR ROCKAWAY,106,QUEENS, NY,11693,Club/Bar/Restaurant
40.69161916,-73.90573918,,117,BROOKLYN, NY,11207,Club/Bar/Restaurant
40.76035852,-73.98928635,NEW YORK,42,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.71696661,-73.95482851,,36,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.72306557,-73.98907949,NEW YORK,98,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.79585513,-73.93552852,NEW YORK,148,MANHATTAN, NY,10029,Club/Bar/Restaurant
40.71957476,-73.99950577,NEW YORK,10,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.62084753,-74.02677137,,25,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.72483716,-73.97832075,NEW YORK,127,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.8384769,-73.91310235,BRONX,65,BRONX, NY,10456,Club/Bar/Restaurant
40.75618226,-73.93008771,ASTORIA,18,QUEENS, NY,11106,Club/Bar/Restaurant
40.72979695,-73.95838458,,93,BROOKLYN, NY,11222,Club/Bar/Restaurant
40.62075694,-74.02683617,,143,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.76331469,-73.92819586,ASTORIA,267,QUEENS, NY,11106,Club/Bar/Restaurant
40.71795041,-73.95792662,,64,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.7111325,-73.96654457,,70,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.75256615,-73.90524869,WOODSIDE,45,QUEENS, NY,11377,Club/Bar/Restaurant
40.74294904,-73.99646701,NEW YORK,85,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.73234787,-73.98493936,NEW YORK,41,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.71992609,-74.0002886,NEW YORK,55,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.67596498,-73.81819204,SOUTH OZONE PARK,95,QUEENS, NY,11420,Club/Bar/Restaurant
40.63597511,-73.97814065,,183,BROOKLYN, NY,11218,Club/Bar/Restaurant
40.76349768,-73.87813729,EAST ELMHURST,59,QUEENS, NY,11369,Club/Bar/Restaurant
40.71175719,-73.94278797,,27,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.74091496,-73.99208259,NEW YORK,40,MANHATTAN, NY,10010,Club/Bar/Restaurant
